date,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_speed_10m,cloud_cover,shortwave_radiation
2021-01-01 00:00:00,7.3,86,5.1,991.6,5.5,51,0.0
2021-01-01 01:00:00,8.1,82,5.2,991.5,2.8,0,0.0
2021-01-01 02:00:00,6.5,86,4.4,991.3,4.6,0,0.0
2021-01-01 03:00:00,7.6,81,4.5,991.1,4.1,0,0.0
2021-01-01 04:00:00,6.1,86,3.9,991.0,6.0,0,0.0
2021-01-01 05:00:00,3.9,96,3.2,991.7,4.7,0,0.0
2021-01-01 06:00:00,3.5,99,3.3,992.0,3.2,0,0.0
2021-01-01 07:00:00,3.8,99,3.7,992.8,2.3,100,1.0
2021-01-01 08:00:00,5.2,97,4.7,993.9,1.6,100,67.0
2021-01-01 09:00:00,8.2,88,6.4,994.9,1.3,1,189.0
2021-01-01 10:00:00,11.5,77,7.6,995.2,3.5,1,339.0
2021-01-01 11:00:00,14.4,60,6.8,994.6,5.9,0,519.0
2021-01-01 12:00:00,16.0,53,6.3,993.5,7.7,0,588.0
2021-01-01 13:00:00,17.2,48,6.0,992.4,7.6,1,577.0
2021-01-01 14:00:00,17.9,45,5.6,991.6,7.2,0,505.0
2021-01-01 15:00:00,18.1,44,5.7,991.4,6.5,0,379.0
2021-01-01 16:00:00,17.5,47,5.9,991.1,5.9,23,214.0
2021-01-01 17:00:00,12.9,64,6.3,990.6,9.1,15,56.0
2021-01-01 18:00:00,12.0,69,6.4,990.8,8.9,20,0.0
2021-01-01 19:00:00,11.9,71,6.8,991.2,6.9,43,0.0
2021-01-01 20:00:00,10.9,77,7.0,991.4,7.2,11,0.0
2021-01-01 21:00:00,10.8,78,7.1,991.6,7.0,26,0.0
2021-01-01 22:00:00,10.5,79,7.0,991.7,8.1,45,0.0
2021-01-01 23:00:00,10.3,79,6.8,991.7,8.2,34,0.0
2021-01-02 00:00:00,10.3,79,6.8,991.5,6.6,97,0.0
2021-01-02 01:00:00,10.4,78,6.8,991.3,7.2,100,0.0
2021-01-02 02:00:00,10.7,75,6.5,990.9,8.0,43,0.0
2021-01-02 03:00:00,10.2,76,6.1,990.6,7.3,82,0.0
2021-01-02 04:00:00,10.2,77,6.3,991.1,4.1,100,0.0
2021-01-02 05:00:00,9.7,81,6.7,990.7,5.6,90,0.0
2021-01-02 06:00:00,10.0,79,6.6,991.3,6.3,78,0.0
2021-01-02 07:00:00,9.8,82,6.8,991.9,7.2,76,1.0
2021-01-02 08:00:00,10.9,79,7.5,992.7,9.7,29,50.0
2021-01-02 09:00:00,12.9,69,7.4,993.5,9.1,37,181.0
2021-01-02 10:00:00,15.0,60,7.3,993.8,9.9,44,299.0
2021-01-02 11:00:00,16.1,59,8.0,993.3,12.1,41,367.0
2021-01-02 12:00:00,16.4,65,9.9,992.2,12.9,44,445.0
2021-01-02 13:00:00,16.7,69,11.0,991.3,11.8,70,399.0
2021-01-02 14:00:00,17.4,67,11.2,990.1,12.2,69,303.0
2021-01-02 15:00:00,18.3,62,10.8,989.6,12.1,32,218.0
2021-01-02 16:00:00,18.5,62,11.1,989.4,10.4,25,177.0
2021-01-02 17:00:00,17.3,63,10.1,989.3,10.3,13,49.0
2021-01-02 18:00:00,16.1,65,9.6,989.3,11.1,26,0.0
2021-01-02 19:00:00,15.4,68,9.6,989.5,11.8,17,0.0
2021-01-02 20:00:00,14.7,72,9.8,989.8,11.8,18,0.0
2021-01-02 21:00:00,14.4,77,10.4,990.0,12.0,15,0.0
2021-01-02 22:00:00,14.0,84,11.3,990.1,10.7,9,0.0
2021-01-02 23:00:00,13.6,89,11.8,989.8,11.0,11,0.0
2021-01-03 00:00:00,13.5,91,12.0,989.4,10.7,15,0.0
2021-01-03 01:00:00,13.2,92,11.9,989.0,10.0,41,0.0
2021-01-03 02:00:00,13.1,93,11.9,988.8,10.0,52,0.0
2021-01-03 03:00:00,12.7,94,11.7,988.5,10.9,40,0.0
2021-01-03 04:00:00,12.3,93,11.3,988.4,9.7,41,0.0
2021-01-03 05:00:00,12.3,92,11.1,988.5,12.0,37,0.0
2021-01-03 06:00:00,12.3,91,10.9,988.7,15.6,35,0.0
2021-01-03 07:00:00,12.7,91,11.2,989.2,16.1,48,1.0
2021-01-03 08:00:00,13.8,89,11.9,990.1,16.0,38,60.0
2021-01-03 09:00:00,15.3,84,12.6,990.8,15.0,40,170.0
2021-01-03 10:00:00,17.1,75,12.6,991.2,15.9,21,261.0
2021-01-03 11:00:00,19.2,67,12.9,990.6,18.8,22,379.0
2021-01-03 12:00:00,20.4,64,13.4,989.6,20.7,57,497.0
2021-01-03 13:00:00,21.0,62,13.4,988.6,23.2,7,492.0
2021-01-03 14:00:00,20.9,65,14.0,988.0,23.4,3,463.0
2021-01-03 15:00:00,20.7,65,13.9,987.8,20.4,5,355.0
2021-01-03 16:00:00,20.1,69,14.1,987.8,16.1,20,202.0
2021-01-03 17:00:00,17.4,83,14.4,988.7,14.4,83,50.0
2021-01-03 18:00:00,17.3,83,14.5,989.2,14.6,91,0.0
2021-01-03 19:00:00,17.0,85,14.4,989.4,13.7,34,0.0
2021-01-03 20:00:00,16.2,89,14.4,989.7,13.8,14,0.0
2021-01-03 21:00:00,15.6,92,14.3,989.9,14.2,12,0.0
2021-01-03 22:00:00,15.6,92,14.3,989.9,14.0,6,0.0
2021-01-03 23:00:00,15.2,93,14.1,989.8,14.3,9,0.0
2021-01-04 00:00:00,14.8,93,13.7,989.4,11.7,15,0.0
2021-01-04 01:00:00,14.6,93,13.5,989.3,9.4,34,0.0
2021-01-04 02:00:00,14.5,94,13.6,989.4,8.7,41,0.0
2021-01-04 03:00:00,14.2,95,13.5,989.3,8.9,37,0.0
2021-01-04 04:00:00,14.5,95,13.7,989.5,8.6,36,0.0
2021-01-04 05:00:00,13.4,98,13.1,990.0,5.3,47,0.0
2021-01-04 06:00:00,13.0,98,12.7,990.3,5.8,24,0.0
2021-01-04 07:00:00,13.1,98,12.8,990.9,8.0,65,1.0
2021-01-04 08:00:00,14.3,96,13.6,992.2,11.2,62,60.0
2021-01-04 09:00:00,15.4,92,14.1,993.0,11.9,88,155.0
2021-01-04 10:00:00,16.5,89,14.7,993.3,12.0,52,250.0
