seed,method,eval_domain,MSE,MAE,MASE,key_RMSE,key_MAE,feat_mmd
-1,seasonal_naive,source,0.34574776887893677,0.3504449427127838,1.02849280834198,1.8086252212524414,1.2249155044555664,
-1,seasonal_naive,target,0.35127758979797363,0.3216058611869812,1.0296317338943481,1.5532299280166626,1.1290736198425293,
0,source_only,source,0.22708477079868317,0.3182365298271179,0.9479656219482422,1.5948423147201538,1.179639220237732,0.06594085693359375
0,source_only,target,0.2512214183807373,0.31486982107162476,1.0245203971862793,1.7590991258621216,1.361032485961914,0.06594085693359375
0,dann,source,0.23514187335968018,0.32223618030548096,0.9562419652938843,1.5661364793777466,1.1448438167572021,1.5107450485229492
0,dann,target,0.2736157476902008,0.3336174488067627,1.0878124237060547,1.838263750076294,1.4210246801376343,1.5107450485229492
0,coral,source,0.24380873143672943,0.32703426480293274,0.9688536524772644,1.5827391147613525,1.1638685464859009,0.036730289459228516
0,coral,target,0.2702919840812683,0.3225162625312805,1.0459413528442383,1.7132359743118286,1.3084814548492432,0.036730289459228516
0,mmd,source,0.22375047206878662,0.3073331415653229,0.9116230607032776,1.5493677854537964,1.1293882131576538,0.03682994842529297
0,mmd,target,0.23110046982765198,0.28212299942970276,0.9064024090766907,1.363270878791809,1.0195531845092773,0.03682994842529297
0,care,source,0.224616140127182,0.31560444831848145,0.9400953650474548,1.5880417823791504,1.1760131120681763,0.018084049224853516
0,care,target,0.24488438665866852,0.3066538870334625,0.9963094592094421,1.6765072345733643,1.2865655422210693,0.018084049224853516
0,care_noalign,source,0.22498001158237457,0.31559067964553833,0.9396154880523682,1.5925977230072021,1.173317313194275,0.49148082733154297
0,care_noalign,target,0.27680259943008423,0.33644264936447144,1.1045114994049072,2.1378161907196045,1.6554838418960571,0.49148082733154297
0,care_nossl,source,0.22347432374954224,0.31178703904151917,0.9271888136863708,1.5623400211334229,1.1518043279647827,0.03173470497131348
0,care_nossl,target,0.2325437217950821,0.2885066866874695,0.9296404123306274,1.4221926927566528,1.082339882850647,0.03173470497131348
0,care_noanchor,source,0.22472739219665527,0.3134773075580597,0.9306274652481079,1.5495929718017578,1.1369309425354004,0.046848297119140625
0,care_noanchor,target,0.2447318732738495,0.30445659160614014,0.9848523736000061,1.5836212635040283,1.2019685506820679,0.046848297119140625
0,oracle_finetune,source,0.25125664472579956,0.3360171914100647,1.0085809230804443,1.6917277574539185,1.2628697156906128,0.13017559051513672
0,oracle_finetune,target,0.22777149081230164,0.28669506311416626,0.9219754934310913,1.4239075183868408,1.0760321617126465,0.13017559051513672
0,target_only,source,0.2775399386882782,0.3564470112323761,1.0761988162994385,1.7802470922470093,1.3394471406936646,0.11360025405883789
0,target_only,target,0.24070632457733154,0.2953186631202698,0.9482993483543396,1.4337323904037476,1.081819772720337,0.11360025405883789
1,source_only,source,0.22755350172519684,0.3191496431827545,0.9508872628211975,1.6026653051376343,1.1831135749816895,0.07882404327392578
1,source_only,target,0.2515392005443573,0.3140920102596283,1.0228354930877686,1.7126829624176025,1.3175594806671143,0.07882404327392578
1,dann,source,0.22554603219032288,0.3181278109550476,0.9477135539054871,1.5913907289505005,1.1709527969360352,3.9810233116149902
1,dann,target,0.2479875534772873,0.30724942684173584,0.9950999617576599,1.5469226837158203,1.185102939605713,3.9810233116149902
1,coral,source,0.23907899856567383,0.3253193795681,0.965465784072876,1.5776770114898682,1.1576300859451294,0.06180167198181152
1,coral,target,0.26527687907218933,0.31816622614860535,1.0329768657684326,1.6266473531723022,1.2410461902618408,0.06180167198181152
1,mmd,source,0.22530628740787506,0.30756500363349915,0.9113682508468628,1.556209683418274,1.1288888454437256,0.03918290138244629
1,mmd,target,0.2325168251991272,0.2820495665073395,0.9056008458137512,1.3694777488708496,1.0213308334350586,0.03918290138244629
1,care,source,0.2240338772535324,0.31501829624176025,0.9381417632102966,1.5862871408462524,1.1646785736083984,0.014297962188720703
1,care,target,0.24217358231544495,0.3036656379699707,0.985964298248291,1.6188273429870605,1.235981822013855,0.014297962188720703
1,care_noalign,source,0.2239983230829239,0.3153301179409027,0.9389079213142395,1.5908408164978027,1.1681197881698608,0.4377422332763672
1,care_noalign,target,0.2603117823600769,0.32153579592704773,1.050875186920166,1.8956266641616821,1.4477877616882324,0.4377422332763672
1,care_nossl,source,0.22408242523670197,0.31046298146247864,0.9221088886260986,1.5596306324005127,1.1446881294250488,0.03746533393859863
1,care_nossl,target,0.23228299617767334,0.28568795323371887,0.9198381900787354,1.3855197429656982,1.0437836647033691,0.03746533393859863
1,care_noanchor,source,0.2226128727197647,0.3121821880340576,0.9279918074607849,1.5417677164077759,1.1254005432128906,0.05084705352783203
1,care_noanchor,target,0.24163898825645447,0.30130618810653687,0.9748684167861938,1.5377284288406372,1.1692713499069214,0.05084705352783203
1,oracle_finetune,source,0.2657727599143982,0.3461543619632721,1.0425211191177368,1.702977180480957,1.278591275215149,0.1294538974761963
1,oracle_finetune,target,0.23242679238319397,0.28976505994796753,0.9315200448036194,1.4065569639205933,1.0590299367904663,0.1294538974761963
1,target_only,source,0.27471551299095154,0.3546678125858307,1.068406343460083,1.7369211912155151,1.2925814390182495,0.12105512619018555
1,target_only,target,0.236506849527359,0.29279401898384094,0.9409206509590149,1.4327677488327026,1.081607699394226,0.12105512619018555
2,source_only,source,0.22683198750019073,0.3177846372127533,0.9460188746452332,1.5755133628845215,1.1616806983947754,0.08992815017700195
2,source_only,target,0.2583722770214081,0.32014140486717224,1.0423052310943604,1.8315330743789673,1.4093314409255981,0.08992815017700195
2,dann,source,0.24074962735176086,0.3260434865951538,0.9685826897621155,1.5688164234161377,1.1474695205688477,0.08373427391052246
2,dann,target,0.2812822163105011,0.3349725008010864,1.0944733619689941,1.7681336402893066,1.340316891670227,0.08373427391052246
2,coral,source,0.24076338112354279,0.32508450746536255,0.9644680619239807,1.5648859739303589,1.143894910812378,0.04640483856201172
2,coral,target,0.27961021661758423,0.32797807455062866,1.0617400407791138,1.7302703857421875,1.3193315267562866,0.04640483856201172
2,mmd,source,0.2208651304244995,0.3093770444393158,0.9182325005531311,1.530318260192871,1.1191730499267578,0.04977273941040039
2,mmd,target,0.2377227395772934,0.2926613390445709,0.9409816265106201,1.4293034076690674,1.0837589502334595,0.04977273941040039
2,care,source,0.2238263487815857,0.314163476228714,0.9355392456054688,1.5673938989639282,1.1510965824127197,0.016296863555908203
2,care,target,0.24663972854614258,0.3063570559024811,0.9928249716758728,1.6509805917739868,1.2576993703842163,0.016296863555908203
2,care_noalign,source,0.22405192255973816,0.31381505727767944,0.9334988594055176,1.5655887126922607,1.1460028886795044,0.4164271354675293
2,care_noalign,target,0.26806750893592834,0.32683777809143066,1.065871000289917,1.9453305006027222,1.487972378730774,0.4164271354675293
2,care_nossl,source,0.2197464555501938,0.30933135747909546,0.9197208285331726,1.5392158031463623,1.1303318738937378,0.02537822723388672
2,care_nossl,target,0.2369297295808792,0.2933557629585266,0.9459351897239685,1.4527724981307983,1.1025255918502808,0.02537822723388672
2,care_noanchor,source,0.22271564602851868,0.3120463490486145,0.9273200631141663,1.5428764820098877,1.125741958618164,0.026432037353515625
2,care_noanchor,target,0.24604621529579163,0.30491387844085693,0.985779881477356,1.5700247287750244,1.1892952919006348,0.026432037353515625
2,oracle_finetune,source,0.26059430837631226,0.3430003225803375,1.0332145690917969,1.675766944885254,1.2495473623275757,0.10106706619262695
2,oracle_finetune,target,0.23600395023822784,0.29073914885520935,0.9337499737739563,1.4031132459640503,1.0513389110565186,0.10106706619262695
2,target_only,source,0.2851516604423523,0.3597312867641449,1.0882971286773682,1.7849751710891724,1.3378205299377441,0.31348347663879395
2,target_only,target,0.24343353509902954,0.29564788937568665,0.9507128000259399,1.4337987899780273,1.078126072883606,0.31348347663879395
