method,MSE_mean,MSE_std,MAE_mean,MAE_std,MASE_mean,MASE_std,key_RMSE_mean,key_RMSE_std,key_MAE_mean,key_MAE_std,feat_mmd_mean,feat_mmd_std,GCR_MSE_mean,GCR_MSE_std,forgetting_%_mean,forgetting_%_std
seasonal_naive,0.35127758979797363,,0.3216058611869812,,1.0296317338943481,,1.5532299280166626,,1.1290736198425293,,,,,,,
source_only,0.2537109653155009,0.004039940159284442,0.3163677453994751,0.0032911436839524136,1.029887040456136,0.010787414866443034,1.7677717208862305,0.059897810532993465,1.3626411358515422,0.04590712350247763,0.0782310167948405,0.01200463742018002,0.0,0.0,0.0,0.0
dann,0.2676285058259964,0.01743613896909831,0.32527979214986164,0.015629446450056397,1.0591285824775696,0.05555033958587658,1.7177733580271404,0.1520592738347723,1.3154815038045247,0.1199056474138425,1.858500878016154,1.9717799188963088,-0.5977896637284896,0.6795161898607567,2.933840941184869,3.5490177500402633
coral,0.2717263599236806,0.007273528500014893,0.3228868544101715,0.004916410888198507,1.0468860864639282,0.014404841213387169,1.6900512377421062,0.055566016836736135,1.2896197239557903,0.04241429177452959,0.04831226666768392,0.012644060537744644,-0.8271647717388421,0.1159689344162079,6.190439391838935,1.1506097184847486
mmd,0.23378001153469086,0.0034871684714134496,0.2856113016605377,0.0061056218713347295,0.9176616271336874,0.020199688218416438,1.3873506784439087,0.03646443371456816,1.0415476560592651,0.03656685693112155,0.04192852973937988,0.006894404682555477,0.9254959394559998,0.06865505127185326,-1.6954594564096055,0.844708150127076
care_noalign,0.26839396357536316,0.008250254019290413,0.3282720744609833,0.007556220907834259,1.0737525622049968,0.027673141634193408,1.992924451828003,0.1279172773260651,1.5304146607716878,0.11016090918313151,0.4485500653584798,0.038676492748708935,-0.6611067688886967,0.3724185243471895,-1.238271459085453,0.31793322757602893
care_nossl,0.23391881585121155,0.00261078447550142,0.28918346762657166,0.0038784469602681235,0.9318045973777771,0.013182417089045334,1.4201616446177165,0.03367234973581782,1.0762163798014324,0.029845878583626462,0.03152608871459961,0.006046253193482465,0.9208761574412084,0.11046047918795053,-2.079664147427359,0.9047297504546125
care_noanchor,0.24413902560869852,0.002262634263336071,0.303558886051178,0.0019642463782947516,0.9818335572878519,0.0060497896138225656,1.5637914737065632,0.02357282693954441,1.186845064163208,0.01648573463957556,0.04137579600016276,0.013095207332109842,0.4485965045946918,0.14974626958188375,-1.6746696635935459,0.5793800297178131
care,0.24456589917341867,0.0022500424989740204,0.30555886030197144,0.0016462822597810042,0.9916995763778687,0.0052635990311391215,1.6487717231114705,0.028903318130071545,1.2600822448730469,0.025375908961504733,0.01622629165649414,0.0018940298456026022,0.42826034422280584,0.13793459474955086,-1.3196237046137298,0.22986175275313595
target_only,0.24021556973457336,0.0034893227837167968,0.29458685715993244,0.0015613452616421275,0.9466442664464315,0.0051015701434591445,1.433432976404826,0.0005770598044404228,1.080517848332723,0.0020740506558811446,0.18271295229593912,0.11331192041132554,0.6342606059235655,0.17154319190265518,22.884948172238825,2.5583414873623034
oracle_finetune,0.2320674111445745,0.004127979312676367,0.2890664239724477,0.0021106223110601593,0.9290818373362223,0.006254457496592467,1.4111925760904949,0.011145273282455279,1.0621336698532104,0.012635823130495652,0.12023218472798665,0.01660140164463244,1.0,0.0,14.108145736300118,3.1482387012328648
