dataset,method,rel_change_%,GCR_of_means
climate,dann,5.4855888838657,-0.6430339675537571
climate,coral,7.100755217961008,-0.8323676631807357
climate,mmd,-7.855771529632182,0.9208724973453376
climate,care_noalign,5.787293521824433,-0.6784005133309261
climate,care_nossl,-7.801061905100159,0.9144593031248087
climate,care_noanchor,-3.7727733584156598,0.44225359805555037
climate,care,-3.6045214406519754,0.42253070220633193
climate,oracle_finetune,-8.530791778751734,1.0
finance,dann,2.0070271034290155,-0.8414991879670622
finance,coral,2.048297191084747,-0.8588027635841061
finance,mmd,-0.48481022841024846,0.2032695088314143
finance,care_noalign,0.5554360381622159,-0.2328812472350792
finance,care_nossl,-0.5679204521184866,0.2381156679304909
finance,care_noanchor,0.5281940980092159,-0.22145934342608994
finance,care,0.08283759186629158,-0.034731850989727225
finance,oracle_finetune,-2.385061247982534,1.0
energy,dann,25.67174221422257,-8.567875093901204
energy,coral,11.404814029285614,-3.8063260863516937
energy,mmd,-4.385298729986776,1.4635816866045959
energy,care_noalign,4.484137044182179,-1.4965687088117927
energy,care_nossl,-6.425122840734387,2.14436751128973
energy,care_noanchor,-0.10689589482222317,0.035676218125163146
energy,care,-3.303947263005469,1.1026835354627644
energy,oracle_finetune,-2.9962787660730794,1.0
