seed,method,eval_domain,MSE,MAE,MASE,key_RMSE,key_MAE,feat_mmd
-1,seasonal_naive,source,0.45246952772140503,0.40683713555336,1.0196218490600586,2.2405776977539062,1.7159851789474487,
-1,seasonal_naive,target,0.2246200144290924,0.30205038189888,1.0246586799621582,4.769885540008545,3.5202701091766357,
0,source_only,source,0.3707704246044159,0.41684550046920776,1.0462865829467773,1.9208111763000488,1.4724072217941284,0.22487759590148926
0,source_only,target,0.16914629936218262,0.2790072560310364,0.9485151767730713,4.6086201667785645,3.5620172023773193,0.22487759590148926
0,dann,source,0.42243820428848267,0.4505768120288849,1.1375471353530884,2.0655648708343506,1.573874831199646,1.9131999015808105
0,dann,target,0.23114074766635895,0.3331565856933594,1.1315704584121704,6.042739391326904,4.804931163787842,1.9131999015808105
0,coral,source,0.41997677087783813,0.4458393156528473,1.1233211755752563,2.0657033920288086,1.5734666585922241,0.09166193008422852
0,coral,target,0.18569737672805786,0.29248178005218506,0.9935870170593262,5.132391929626465,3.9785876274108887,0.09166193008422852
0,mmd,source,0.3519371449947357,0.40333542227745056,1.0128644704818726,1.895512580871582,1.442750096321106,0.040845394134521484
0,mmd,target,0.16216827929019928,0.27034544944763184,0.9168025851249695,4.305412769317627,3.286130666732788,0.040845394134521484
0,care,source,0.3552616536617279,0.40549200773239136,1.0176573991775513,1.8993606567382812,1.4562104940414429,0.038282155990600586
0,care,target,0.16319109499454498,0.2725060284137726,0.9246774911880493,4.442069053649902,3.4049813747406006,0.038282155990600586
0,care_noalign,source,0.3658178746700287,0.4147792160511017,1.0409612655639648,1.9113078117370605,1.4638030529022217,0.5600674152374268
0,care_noalign,target,0.17183583974838257,0.28122472763061523,0.9559844136238098,4.59564208984375,3.5344512462615967,0.5600674152374268
0,care_nossl,source,0.3512812554836273,0.39909231662750244,0.9996544718742371,1.897727608680725,1.4603725671768188,0.06448054313659668
0,care_nossl,target,0.15968087315559387,0.2679072320461273,0.908018171787262,4.273740768432617,3.2409257888793945,0.06448054313659668
0,care_noanchor,source,0.3699290156364441,0.4171355068683624,1.0502244234085083,1.9188467264175415,1.4616059064865112,0.04140472412109375
0,care_noanchor,target,0.16915665566921234,0.27869492769241333,0.9454101324081421,4.625312328338623,3.5836925506591797,0.04140472412109375
0,oracle_finetune,source,0.3946434557437897,0.43260449171066284,1.0834938287734985,1.8823491334915161,1.436937928199768,0.08911538124084473
0,oracle_finetune,target,0.1682000458240509,0.2712748348712921,0.9172071814537048,4.215688705444336,3.1386375427246094,0.08911538124084473
0,target_only,source,0.4799799919128418,0.486419141292572,1.2177059650421143,2.164607524871826,1.67331063747406,0.10991549491882324
0,target_only,target,0.17149245738983154,0.27682527899742126,0.9372263550758362,4.445253849029541,3.3075270652770996,0.10991549491882324
1,source_only,source,0.3785995543003082,0.42253538966178894,1.0613560676574707,1.9137530326843262,1.4633195400238037,0.21426057815551758
1,source_only,target,0.1728529930114746,0.2814103364944458,0.9553841948509216,4.655350208282471,3.6010327339172363,0.21426057815551758
1,dann,source,0.43177396059036255,0.4527585208415985,1.1398555040359497,1.9854614734649658,1.5299372673034668,1.8617315292358398
1,dann,target,0.22655373811721802,0.32575127482414246,1.0996506214141846,5.610386848449707,4.363062858581543,1.8617315292358398
1,coral,source,0.4210549294948578,0.44370579719543457,1.1184556484222412,2.018878936767578,1.5370444059371948,0.10299134254455566
1,coral,target,0.19750188291072845,0.3014551103115082,1.0220297574996948,5.126277446746826,3.971343517303467,0.10299134254455566
1,mmd,source,0.36803531646728516,0.412687748670578,1.0377943515777588,1.9306561946868896,1.4709172248840332,0.03402352333068848
1,mmd,target,0.1643277406692505,0.27476534247398376,0.9332969784736633,4.545359134674072,3.474896192550659,0.03402352333068848
