date,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_speed_10m,cloud_cover,shortwave_radiation
2024-12-11 00:00:00,-0.8,39,-13.2,777.3,4.1,0,0.0
2024-12-11 01:00:00,-0.9,37,-13.9,776.7,4.0,0,0.0
2024-12-11 02:00:00,-0.8,35,-14.4,776.5,3.4,0,0.0
2024-12-11 03:00:00,-0.8,33,-15.0,776.5,2.9,0,0.0
2024-12-11 04:00:00,-0.8,31,-15.9,776.4,2.6,0,0.0
2024-12-11 05:00:00,-0.7,28,-16.8,776.9,2.6,0,0.0
2024-12-11 06:00:00,-1.2,34,-15.2,777.3,3.1,0,0.0
2024-12-11 07:00:00,-1.0,33,-15.2,777.8,4.0,0,3.0
2024-12-11 08:00:00,2.3,35,-11.7,780.7,4.4,0,102.0
2024-12-11 09:00:00,9.1,26,-9.2,786.0,4.5,0,277.0
2024-12-11 10:00:00,11.4,16,-13.9,787.2,1.3,0,435.0
2024-12-11 11:00:00,12.5,16,-12.6,787.3,2.8,0,545.0
2024-12-11 12:00:00,13.0,16,-12.0,786.6,6.4,0,593.0
2024-12-11 13:00:00,12.9,17,-11.5,786.0,8.9,0,577.0
2024-12-11 14:00:00,11.8,24,-8.3,785.1,8.8,0,495.0
2024-12-11 15:00:00,10.4,32,-5.7,784.3,6.7,0,358.0
2024-12-11 16:00:00,7.8,47,-2.9,782.6,3.5,0,184.0
2024-12-11 17:00:00,4.7,56,-3.3,780.6,0.5,0,32.0
2024-12-11 18:00:00,2.6,61,-4.2,779.9,2.0,0,0.0
2024-12-11 19:00:00,2.2,60,-4.8,779.5,2.9,0,0.0
2024-12-11 20:00:00,2.1,58,-5.4,779.3,3.6,0,0.0
2024-12-11 21:00:00,1.6,57,-5.9,778.9,3.8,0,0.0
2024-12-11 22:00:00,0.6,60,-6.3,777.9,4.1,0,0.0
2024-12-11 23:00:00,-0.2,63,-6.5,777.1,5.4,0,0.0
2024-12-12 00:00:00,-0.0,60,-6.9,776.8,6.0,0,0.0
2024-12-12 01:00:00,-0.1,55,-8.0,776.5,6.1,0,0.0
2024-12-12 02:00:00,0.1,49,-9.3,776.3,5.8,0,0.0
2024-12-12 03:00:00,0.3,46,-10.1,776.1,4.8,0,0.0
2024-12-12 04:00:00,0.3,44,-10.5,776.0,4.1,0,0.0
2024-12-12 05:00:00,0.2,44,-10.7,776.0,3.7,0,0.0
2024-12-12 06:00:00,-0.0,51,-9.1,776.7,4.0,0,0.0
2024-12-12 07:00:00,-0.5,52,-9.1,776.6,4.2,0,3.0
2024-12-12 08:00:00,2.4,49,-7.4,779.6,3.7,0,102.0
2024-12-12 09:00:00,7.4,30,-9.0,783.6,2.5,0,279.0
2024-12-12 10:00:00,8.7,26,-9.6,784.5,4.1,0,439.0
2024-12-12 11:00:00,9.8,19,-12.8,784.8,7.8,0,551.0
2024-12-12 12:00:00,10.2,16,-14.5,784.5,11.7,0,601.0
2024-12-12 13:00:00,9.3,25,-9.9,783.5,12.9,0,584.0
2024-12-12 14:00:00,8.3,30,-8.1,782.9,11.7,0,499.0
2024-12-12 15:00:00,6.9,35,-7.4,782.2,11.4,0,360.0
2024-12-12 16:00:00,5.1,40,-7.4,781.5,8.6,0,187.0
2024-12-12 17:00:00,1.7,54,-6.6,779.7,2.7,0,32.0
2024-12-12 18:00:00,1.3,57,-6.3,780.3,1.2,0,0.0
2024-12-12 19:00:00,0.4,57,-7.2,780.1,1.1,0,0.0
2024-12-12 20:00:00,-0.7,60,-7.5,779.6,2.3,0,0.0
