date,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_speed_10m,cloud_cover,shortwave_radiation
2024-12-11 00:00:00,11.5,51,1.8,991.9,7.1,0,0.0
2024-12-11 01:00:00,10.9,53,1.6,991.4,6.8,0,0.0
2024-12-11 02:00:00,10.4,53,1.1,991.1,7.5,0,0.0
2024-12-11 03:00:00,10.1,52,0.6,991.0,7.9,0,0.0
2024-12-11 04:00:00,9.8,51,0.2,990.9,8.0,0,0.0
2024-12-11 05:00:00,9.4,52,-0.1,991.2,8.5,0,0.0
2024-12-11 06:00:00,8.4,59,0.8,992.3,9.0,0,0.0
2024-12-11 07:00:00,8.2,61,1.1,992.9,9.0,0,6.0
2024-12-11 08:00:00,9.5,58,1.7,993.9,10.3,0,104.0
2024-12-11 09:00:00,11.8,52,2.3,994.5,7.6,0,270.0
2024-12-11 10:00:00,14.4,45,2.7,994.6,8.1,0,425.0
2024-12-11 11:00:00,16.9,39,2.8,993.8,9.2,0,535.0
2024-12-11 12:00:00,18.6,34,2.6,992.6,10.1,0,585.0
2024-12-11 13:00:00,19.7,31,2.3,991.5,10.0,0,568.0
2024-12-11 14:00:00,20.2,30,2.0,990.9,10.5,0,486.0
2024-12-11 15:00:00,20.0,31,2.3,990.4,10.5,0,350.0
2024-12-11 16:00:00,19.2,33,2.6,990.2,9.0,0,182.0
2024-12-11 17:00:00,16.9,41,3.5,990.2,5.9,0,37.0
2024-12-11 18:00:00,16.9,42,3.8,990.6,6.4,0,0.0
2024-12-11 19:00:00,15.9,46,4.1,990.8,6.5,0,0.0
2024-12-11 20:00:00,15.0,48,4.0,991.2,6.6,0,0.0
2024-12-11 21:00:00,14.2,50,3.9,991.5,6.4,0,0.0
2024-12-11 22:00:00,13.3,53,3.9,991.1,6.0,0,0.0
2024-12-11 23:00:00,12.5,56,3.9,990.9,5.8,0,0.0
2024-12-12 00:00:00,11.7,59,3.9,990.4,5.7,0,0.0
2024-12-12 01:00:00,10.8,63,4.0,989.8,5.4,0,0.0
2024-12-12 02:00:00,10.1,66,4.1,989.6,5.1,0,0.0
2024-12-12 03:00:00,9.6,68,4.1,989.3,5.2,0,0.0
2024-12-12 04:00:00,9.1,71,4.1,988.9,5.3,0,0.0
2024-12-12 05:00:00,8.8,72,4.1,989.0,5.6,0,0.0
2024-12-12 06:00:00,7.7,75,3.6,989.9,6.0,0,0.0
2024-12-12 07:00:00,8.0,74,3.6,990.4,6.8,0,5.0
2024-12-12 08:00:00,9.9,66,3.8,991.5,8.9,0,103.0
2024-12-12 09:00:00,12.5,57,4.1,992.2,5.6,0,269.0
2024-12-12 10:00:00,15.4,47,4.0,992.7,5.9,0,425.0
2024-12-12 11:00:00,17.9,39,3.7,992.2,7.8,0,534.0
2024-12-12 12:00:00,19.4,33,2.8,991.8,9.3,0,582.0
2024-12-12 13:00:00,20.2,31,2.6,990.9,9.7,0,564.0
2024-12-12 14:00:00,20.5,30,2.5,990.7,9.7,0,482.0
2024-12-12 15:00:00,20.2,31,2.7,990.7,9.7,0,346.0
2024-12-12 16:00:00,19.3,34,3.2,990.7,10.1,0,179.0
2024-12-12 17:00:00,17.8,39,3.8,990.9,7.2,0,36.0
2024-12-12 18:00:00,17.7,42,4.5,991.6,7.5,0,0.0
2024-12-12 19:00:00,16.7,47,5.2,992.3,7.9,0,0.0
2024-12-12 20:00:00,15.7,50,5.3,992.8,8.3,0,0.0
2024-12-12 21:00:00,15.0,52,5.1,992.9,8.5,0,0.0
2024-12-12 22:00:00,14.6,52,4.7,993.0,9.0,0,0.0
2024-12-12 23:00:00,13.8,53,4.5,992.8,8.7,0,0.0
2024-12-13 00:00:00,13.0,57,4.6,992.8,8.7,0,0.0
2024-12-13 01:00:00,12.5,59,4.7,992.8,8.9,8,0.0
2024-12-13 02:00:00,11.9,61,4.7,992.7,8.8,0,0.0
2024-12-13 03:00:00,11.3,63,4.6,992.3,9.0,0,0.0
2024-12-13 04:00:00,10.8,65,4.4,992.2,9.2,0,0.0
2024-12-13 05:00:00,10.4,65,4.0,992.2,10.0,0,0.0
2024-12-13 06:00:00,9.4,71,4.4,992.5,10.1,13,0.0
2024-12-13 07:00:00,9.2,70,4.1,993.3,10.3,0,5.0
2024-12-13 08:00:00,10.4,65,4.0,994.1,10.4,0,101.0
2024-12-13 09:00:00,12.5,55,3.8,994.7,9.7,0,267.0
2024-12-13 10:00:00,15.1,46,3.5,994.6,11.1,0,423.0
2024-12-13 11:00:00,17.5,38,3.2,993.7,13.0,0,536.0
2024-12-13 12:00:00,19.2,33,2.7,992.2,14.5,0,587.0
2024-12-13 13:00:00,20.3,29,1.7,991.1,15.1,0,572.0
2024-12-13 14:00:00,20.6,29,1.7,990.6,14.7,0,491.0
2024-12-13 15:00:00,20.2,30,1.9,990.3,14.7,0,354.0
2024-12-13 16:00:00,19.4,33,2.5,990.3,14.2,2,185.0
2024-12-13 17:00:00,17.8,39,3.6,990.7,11.8,9,38.0
2024-12-13 18:00:00,17.7,40,3.8,991.5,13.1,3,0.0
2024-12-13 19:00:00,16.9,39,2.9,992.0,13.8,0,0.0
2024-12-13 20:00:00,16.2,38,2.0,992.3,13.9,0,0.0
2024-12-13 21:00:00,15.4,39,1.4,992.7,14.0,0,0.0
2024-12-13 22:00:00,14.7,40,1.1,992.4,14.0,0,0.0
2024-12-13 23:00:00,14.0,41,1.0,992.2,13.1,0,0.0
2024-12-14 00:00:00,13.3,43,1.1,991.8,12.5,0,0.0
2024-12-14 01:00:00,12.6,45,1.1,991.7,11.8,0,0.0
2024-12-14 02:00:00,12.0,47,1.0,991.3,11.2,0,0.0
2024-12-14 03:00:00,11.4,48,0.8,990.9,10.9,0,0.0
2024-12-14 04:00:00,10.9,49,0.6,990.8,10.5,0,0.0
2024-12-14 05:00:00,10.5,50,0.5,991.0,10.1,0,0.0
2024-12-14 06:00:00,8.9,60,1.5,991.8,9.9,0,0.0
2024-12-14 07:00:00,8.6,61,1.5,992.8,10.6,0,5.0
2024-12-14 08:00:00,9.8,56,1.5,993.7,11.4,0,99.0
2024-12-14 09:00:00,11.9,49,1.7,995.0,10.7,0,265.0
2024-12-14 10:00:00,14.5,42,1.7,995.1,10.0,0,420.0
2024-12-14 11:00:00,17.0,35,1.6,994.3,9.0,0,530.0
2024-12-14 12:00:00,19.0,31,1.3,993.3,9.4,0,580.0
2024-12-14 13:00:00,20.2,29,1.4,992.4,10.4,0,564.0
2024-12-14 14:00:00,20.7,29,1.8,991.8,10.5,0,483.0
2024-12-14 15:00:00,20.5,30,2.1,991.6,10.4,0,349.0
2024-12-14 16:00:00,19.8,32,2.5,991.7,10.6,0,183.0
2024-12-14 17:00:00,18.0,38,3.4,991.8,8.1,0,38.0
2024-12-14 18:00:00,17.8,41,4.3,992.7,8.2,0,0.0
2024-12-14 19:00:00,16.7,44,4.4,992.9,7.6,0,0.0
2024-12-14 20:00:00,15.7,47,4.4,993.1,6.6,0,0.0
2024-12-14 21:00:00,14.9,49,4.4,993.3,6.3,0,0.0
2024-12-14 22:00:00,14.1,52,4.4,993.4,6.2,0,0.0
2024-12-14 23:00:00,13.4,54,4.3,992.7,6.5,0,0.0
2024-12-15 00:00:00,12.8,55,4.1,992.4,6.5,0,0.0
2024-12-15 01:00:00,12.0,57,3.7,992.1,6.3,0,0.0
2024-12-15 02:00:00,11.3,58,3.4,991.9,6.0,0,0.0
2024-12-15 03:00:00,10.6,60,3.1,991.9,6.2,0,0.0
2024-12-15 04:00:00,9.9,62,2.9,991.9,6.2,0,0.0
2024-12-15 05:00:00,9.3,64,2.8,992.3,5.9,0,0.0
2024-12-15 06:00:00,7.3,76,3.3,993.6,4.7,0,0.0
2024-12-15 07:00:00,7.3,76,3.3,994.5,4.3,0,4.0
2024-12-15 08:00:00,9.2,66,3.3,995.6,5.6,0,97.0
2024-12-15 09:00:00,12.0,55,3.3,997.0,3.8,0,261.0
2024-12-15 10:00:00,14.8,46,3.3,997.5,3.9,0,417.0
2024-12-15 11:00:00,17.3,38,2.9,996.7,3.4,0,529.0
2024-12-15 12:00:00,19.2,32,2.1,995.6,3.8,0,582.0
2024-12-15 13:00:00,20.5,28,1.3,994.3,3.6,0,568.0
2024-12-15 14:00:00,21.1,26,0.7,993.6,3.7,0,489.0
2024-12-15 15:00:00,21.0,26,0.8,993.1,4.1,0,354.0
2024-12-15 16:00:00,20.1,28,1.2,992.8,4.4,0,187.0
2024-12-15 17:00:00,17.5,38,3.1,992.7,3.9,0,39.0
2024-12-15 18:00:00,17.3,46,5.5,993.4,4.3,0,0.0
2024-12-15 19:00:00,16.2,52,6.3,993.6,3.3,0,0.0
2024-12-15 20:00:00,15.3,56,6.5,993.9,3.4,0,0.0
2024-12-15 21:00:00,14.4,60,6.7,993.9,2.8,0,0.0
2024-12-15 22:00:00,13.6,64,6.8,993.6,2.6,0,0.0
2024-12-15 23:00:00,12.8,67,6.9,993.0,2.7,0,0.0
2024-12-16 00:00:00,12.1,71,7.1,992.3,3.1,0,0.0
2024-12-16 01:00:00,11.4,76,7.2,991.8,3.1,0,0.0
2024-12-16 02:00:00,10.6,80,7.3,991.6,2.8,0,0.0
2024-12-16 03:00:00,9.6,84,7.1,991.5,3.3,0,0.0
2024-12-16 04:00:00,8.8,88,6.9,991.6,4.6,0,0.0
2024-12-16 05:00:00,8.2,90,6.6,991.6,4.5,0,0.0
2024-12-16 06:00:00,7.0,92,5.8,992.7,4.3,0,0.0
2024-12-16 07:00:00,7.0,92,5.8,993.5,4.9,0,4.0
2024-12-16 08:00:00,8.7,85,6.4,994.5,5.9,0,93.0
2024-12-16 09:00:00,11.4,74,7.0,995.6,3.4,2,243.0
2024-12-16 10:00:00,14.3,66,8.0,995.7,3.3,0,399.0
2024-12-16 11:00:00,16.8,57,8.4,994.9,4.4,0,529.0
2024-12-16 12:00:00,18.7,48,7.5,993.6,3.9,0,575.0
2024-12-16 13:00:00,20.1,42,6.7,992.2,3.6,0,561.0
2024-12-16 14:00:00,20.9,38,6.2,991.2,3.2,0,483.0
2024-12-16 15:00:00,21.0,38,6.1,990.8,3.4,0,351.0
2024-12-16 16:00:00,20.3,41,6.6,990.3,3.5,0,186.0
2024-12-16 17:00:00,17.9,52,7.8,990.2,2.6,0,39.0
2024-12-16 18:00:00,17.5,56,8.7,990.5,3.7,0,0.0
2024-12-16 19:00:00,16.8,61,9.2,990.8,2.8,0,0.0
2024-12-16 20:00:00,16.2,64,9.5,990.9,2.3,0,0.0
2024-12-16 21:00:00,15.9,67,9.7,991.1,1.6,0,0.0
2024-12-16 22:00:00,15.2,71,9.9,991.0,0.9,0,0.0
2024-12-16 23:00:00,14.0,76,9.9,990.7,1.7,0,0.0
2024-12-17 00:00:00,12.7,83,9.8,990.2,3.0,0,0.0
